login_username,status,franchise_name,franchise_slug,note
Bhosari,NO_FRANCHISE_ROW,,,No centre record in database
Bhugaon,NO_FRANCHISE_ROW,,,No centre record in database
bibaswangoswami,NO_FRANCHISE_ROW,,,No centre record in database
bibhudatta,NO_FRANCHISE_ROW,,,No centre record in database
BidhanNagar,NO_FRANCHISE_ROW,,,No centre record in database
Birati,OK,Birati,birati-timekidspreschools-com,
birshibpur,OK,Birshibpur,birshibpur-timekidspreschools-com,
Boganahalli,OK,Boganahalli,boganahalli-timekidspreschools-com,
Bowenpally,OK,Bowenpally,bowenpally-timekidspreschools-com,
BrindavanNagar,NO_FRANCHISE_ROW,,,No centre record in database
Brodipet,NO_FRANCHISE_ROW,,,No centre record in database
BTMLayout,NO_FRANCHISE_ROW,,,No centre record in database
Calicutuniversity,NO_FRANCHISE_ROW,,,No centre record in database
Camproad,OK,Madambakkam Junction,camproad-timekidspreschools-com,
CDA,NO_FRANCHISE_ROW,,,No centre record in database
center,NO_FRANCHISE_ROW,,,No centre record in database
Chakkanthara,NO_FRANCHISE_ROW,,,No centre record in database
Chaksaif,OK,Chaksaf,bhadohi-timekidspreschools-com,
Chalakudy,NO_FRANCHISE_ROW,,,No centre record in database
ChampadaliMore,OK,Champadali More,champadalibarasat-timekidspreschools-com,
champadiyil,NO_FRANCHISE_ROW,,,No centre record in database
champasari,NO_FRANCHISE_ROW,,,No centre record in database
CHANDANAGAR,OK,S. P. Road,sproad-timekidspreschools-com,
Chandanagar_fran,NO_FRANCHISE_ROW,,,No centre record in database
Chandkheda,NO_FRANCHISE_ROW,,,No centre record in database
chandralayout,OK,Chandra Layout,chandralayout-timekidspreschools-com,
Chandramouli,NO_FRANCHISE_ROW,,,No centre record in database
Chandrani,NO_FRANCHISE_ROW,,,No centre record in database
ChandrapuriColony,OK,Chandrapuri Colony,chandrapuricolony-timekidspreschools-com,
Changamanad,OK,Changamanad,changamanad-timekidspreschools-com,
Changanassery,OK,Changanassery,tkchanganassery-timekidspreschools-com,
Channasandra,NO_FRANCHISE_ROW,,,No centre record in database
charan,NO_FRANCHISE_ROW,,,No centre record in database
CHARMINAR,NO_FRANCHISE_ROW,,,No centre record in database
Chaudharypark,NO_FRANCHISE_ROW,,,No centre record in database
Chengicherla,OK,Chengicherla,chengicherla-timekidspreschools-com,
chennaikknagar,NO_FRANCHISE_ROW,,,No centre record in database
CheranMaaNagar,NO_FRANCHISE_ROW,,,No centre record in database
Cheriathura,NO_FRANCHISE_ROW,,,No centre record in database
Cherthala,NO_FRANCHISE_ROW,,,No centre record in database
chevarambalam,OK,Chevarambalam,chevarambalam-timekidspreschools-com,
Chikhali,NO_FRANCHISE_ROW,,,No centre record in database
chinchwad,NO_FRANCHISE_ROW,,,No centre record in database
Chinthamanipudh,OK,Velachery,velachery-timekidspreschools-com,
chinthamanipudhur,NO_FRANCHISE_ROW,,,No centre record in database
Chitlapakkam,OK,Chitlapakkam,chitlapakkam-timekidspreschools-com,
Chiyyaram,OK,Chiyyaram,chiyyaram-timekidspreschools-com,
CholanNagar,NO_FRANCHISE_ROW,,,No centre record in database
Chrompet,OK,Chrompet,chrompet-timekidspreschools-com,
ChrompetNewColony,NO_FRANCHISE_ROW,,,No centre record in database
chunangamvely,NO_FRANCHISE_ROW,,,No centre record in database
CivilLines,NO_FRANCHISE_ROW,,,No centre record in database
ckknagar,OK,Alwarpet,alwarpet-timekidspreschools-com,
Cnagarathna,NO_FRANCHISE_ROW,,,No centre record in database
Companypady,OK,Companypady,companypady-timekidspreschools-com,
daffodils,OK,Kaloor,kaloor-timekidspreschools-com,
Dammaiguda,OK,Dammaiguda,dammaigudahyd-timekidspreschools-com,
Dammaiguda_New,OK,Dammaiguda,dammaigudahyd-timekidspreschools-com,
Danavaipeta,NO_FRANCHISE_ROW,,,No centre record in database
Darrel,NO_FRANCHISE_ROW,,,No centre record in database
DavidJoseph,NO_FRANCHISE_ROW,,,No centre record in database
DavidMariaFlora,NO_FRANCHISE_ROW,,,No centre record in database
DDColony,NO_FRANCHISE_ROW,,,No centre record in database
Deepak,NO_FRANCHISE_ROW,,,No centre record in database
DeeptisriNagar,NO_FRANCHISE_ROW,,,No centre record in database
defencecolony,NO_FRANCHISE_ROW,,,No centre record in database
DehuRoad,NO_FRANCHISE_ROW,,,No centre record in database
Devashish,NO_FRANCHISE_ROW,,,No centre record in database
DevikaVijayan,NO_FRANCHISE_ROW,,,No centre record in database
dhanori,NO_FRANCHISE_ROW,,,No centre record in database
Dhanori_New,NO_FRANCHISE_ROW,,,No centre record in database
Dharga,OK,MIM Nagar,dhargahosur-timekidspreschools-com,
DhasampalayamRo,NO_FRANCHISE_ROW,,,No centre record in database
dhasampalayamroad,NO_FRANCHISE_ROW,,,No centre record in database
Dhayari,NO_FRANCHISE_ROW,,,No centre record in database
diamondpoint,NO_FRANCHISE_ROW,,,No centre record in database
Dindigul,NO_FRANCHISE_ROW,,,No centre record in database
DinuJoseph,NO_FRANCHISE_ROW,,,No centre record in database
Diva,OK,Diva-Thane,diva-timekidspreschools-com,
domalguda,OK,Domalaguda,domalguda-timekidspreschools-com,
Dommasandra,OK,Dommasandra,dommasandra-timekidspreschools-com,
DumDum,NO_FRANCHISE_ROW,,,No centre record in database
EasternStreet,NO_FRANCHISE_ROW,,,No centre record in database
Eastfort,NO_FRANCHISE_ROW,,,No centre record in database
Easthill,NO_FRANCHISE_ROW,,,No centre record in database
EBColony,NO_FRANCHISE_ROW,,,No centre record in database
ebooks,NO_FRANCHISE_ROW,,,No centre record in database
Edapzhanji,OK,Edapazhnji,edapazhanji-timekidspreschools-com,
Edayapuram,OK,Edayapuram,edayapuram-timekidspreschools-com,
EJyoti,NO_FRANCHISE_ROW,,,No centre record in database
Elamakkara,NO_FRANCHISE_ROW,,,No centre record in database
Elamkunnapuzha,OK,Elamkunnapuzha,elamkunnapuzha-timekidspreschools-com,
ElectronicCity,NO_FRANCHISE_ROW,,,No centre record in database
Enchakkal,NO_FRANCHISE_ROW,,,No centre record in database
Eramanzil,NO_FRANCHISE_ROW,,,No centre record in database
Ettumanoor,OK,Ettumanoor,ettumanoor-timekidspreschools-com,
